GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jcommon concurrency,com.facebook.concurrency.linearization,Linearizer.ConcurrentPointImpl,11,50,1,5,2,17,1,5,0,3
jcommon concurrency,com.facebook.concurrency.linearization,Linearizer.LinearizationPointImpl,60,89,4,6,8,27,6,7,3,5
jcommon concurrency,com.facebook.concurrency.linearization,Linearizer,0,57,0,0,0,11,0,4,0,4
jcommon concurrency,com.facebook.concurrency,CastOrWrapExceptionHandler,58,0,2,0,15,0,3,0,2,0
jcommon concurrency,com.facebook.concurrency,WrappedScheduledFuture,24,15,0,0,5,5,5,3,5,3
jcommon concurrency,com.facebook.concurrency,CallableSnapshot,3,29,1,1,1,11,1,3,0,3
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceFront,51,0,0,0,10,0,5,0,5,0
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.CacheEntryValueFactory,0,22,0,0,0,4,0,2,0,2
jcommon concurrency,com.facebook.concurrency,CallableSnapshotFunctionImpl.new Callable() {...},16,0,0,0,2,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,FixedValueCallable,0,9,0,0,0,4,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore.TrackedCallableImpl,5,37,1,1,0,10,1,3,0,3
jcommon concurrency,com.facebook.concurrency,ConcurrencyUtil,167,0,4,0,42,0,14,0,12,0
jcommon concurrency,com.facebook.concurrency,LatchTask,18,53,0,0,4,19,2,7,2,7
jcommon concurrency,com.facebook.concurrency,NamedThreadFactory,33,0,0,0,7,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,ParallelRunner.1.new Runnable() {...},31,0,2,0,7,0,3,0,2,0
jcommon concurrency,com.facebook.concurrency,CastingExceptionHandler,0,5,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ParallelRunner,190,0,6,0,40,0,14,0,11,0
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache,95,154,6,8,18,37,11,11,7,8
jcommon concurrency,com.facebook.concurrency,ParallelRunner.new Function() {...},18,0,0,0,2,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,CoreConcurrentCache,15,146,4,12,5,34,6,14,2,10
jcommon concurrency,com.facebook.concurrency,ExecutorServiceFrontBuilder,31,47,0,0,8,10,3,3,3,3
jcommon concurrency,com.facebook.concurrency,CountTask,18,0,0,0,5,0,3,0,3,0
jcommon concurrency,com.facebook.concurrency,TaskGroup.new Runnable() {...},6,22,0,0,0,5,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.CacheEntry,26,50,3,3,8,12,4,5,1,5
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService,80,239,0,2,10,45,5,18,5,17
jcommon concurrency,com.facebook.concurrency,ExecutorServiceFront,43,114,0,4,9,24,7,8,7,6
jcommon concurrency,com.facebook.concurrency,ExecutorServiceFront.Drainer,20,101,0,6,0,31,0,6,0,3
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore.TrackedFuture,7,10,0,0,2,4,1,1,1,1
jcommon concurrency,com.facebook.concurrency,CriticalSectionFactory.new Runnable() {...},8,26,0,2,0,6,0,3,0,2
jcommon concurrency,com.facebook.concurrency,CoreConcurrentCache.ValueMapper,0,26,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.ValueMapper,27,0,0,0,6,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,SingletonExecutorServiceFactory,9,0,0,0,4,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.PrivateCallableSnapshot,0,5,0,0,0,2,0,1,0,1
jcommon concurrency,com.facebook.concurrency,ConcurrencyUtil.new Runnable() {...},32,0,2,0,8,0,3,0,2,0
jcommon concurrency,com.facebook.concurrency,NamedDaemonThreadFactory,13,0,0,0,5,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,ConcurrencyUtil.new Function() {...},15,0,0,0,2,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,ConcurrencyUtil.new Runnable() {...},19,0,0,0,6,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,TaskGroup.FinishLatch,6,10,0,0,1,5,1,2,1,2
jcommon concurrency,com.facebook.concurrency,CriticalSectionFactory,0,15,0,0,0,3,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.PrivateCallableSnapshotFunction,0,28,0,0,0,7,0,3,0,3
jcommon concurrency,com.facebook.concurrency,RuntimeExceptionHandler,0,15,0,0,0,3,0,3,0,3
jcommon concurrency,com.facebook.concurrency,TaskGroup,5,69,1,3,1,16,1,6,0,5
jcommon concurrency,com.facebook.concurrency,CallableSnapshotFunctionImpl,27,0,0,0,7,0,3,0,3,0
jcommon concurrency,com.facebook.concurrency,FutureHelper,3,47,0,2,1,15,1,4,1,3
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore.TrackedScheduledFuture,0,17,0,0,0,6,0,2,0,2
jcommon concurrency,com.facebook.concurrency,NullExceptionHandler,2,3,0,0,1,1,1,1,1,1
jcommon concurrency,com.facebook.concurrency,CoreConcurrentCache.new Callable() {...},0,32,0,0,0,4,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService.BookkeepingTask,41,89,1,1,8,26,2,6,1,6
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService.new UnstoppableScheduledExecutorService.CallableCallback() {...},0,22,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService.new UnstoppableScheduledExecutorService.RunnableCallback() {...},0,22,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.PrivateCallableSnapshotFunction.new Callable() {...},0,16,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService.new UnstoppableScheduledExecutorService.RunnableCallback() {...},0,31,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableScheduledExecutorService.new UnstoppableScheduledExecutorService.RunnableCallback() {...},0,27,0,0,0,2,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore.TrackedRunnableImpl,5,36,0,2,0,12,0,4,0,3
jcommon concurrency,com.facebook.concurrency,CoreConcurrentCache.PrivateFutureHelper,0,5,0,0,0,2,0,1,0,1
jcommon concurrency,com.facebook.concurrency,CoreConcurrentCache.CallableFutureHelper,0,15,0,0,0,4,0,2,0,2
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore,104,138,15,15,18,35,14,16,3,12
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorServiceCore.FutureMapper,34,0,0,0,7,0,2,0,2,0
jcommon concurrency,com.facebook.concurrency,ErrorLoggingRunnable,20,0,0,0,9,0,3,0,3,0
jcommon concurrency,com.facebook.concurrency,WrappedFuture,23,6,0,0,5,3,5,1,5,1
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.new EvictionListener() {...},5,7,0,0,2,4,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ExpiringConcurrentCache.new Runnable() {...},24,27,0,0,5,6,0,2,0,2
jcommon concurrency,com.facebook.concurrency,ConcurrencyUtil.3.new Runnable() {...},31,0,2,0,7,0,3,0,2,0
jcommon concurrency,com.facebook.concurrency,UnstoppableExecutorService,52,78,0,0,8,17,4,10,4,10
jcommon concurrency,com.facebook.concurrency,NoOp,0,9,0,0,0,3,0,3,0,3
